filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,acceptance,cross_section_pb,N_signal
ALP_W-_sampledfs_Scan_10_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_10_Run_1.pkl.gz,10,1,10.0,0.0001,1,2000,2.5161774000000007e-09,2000,2.5161774000000007e-09,2000,2.5161774000000007e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,1.258088e-12,0.0
ALP_W-_sampledfs_Scan_10_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_10_Run_2.pkl.gz,10,2,10.0,3.16e-05,1,2000,2.524414600000001e-10,2000,2.524414600000001e-10,2000,2.524414600000001e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,1.262207e-13,0.0
ALP_W-_sampledfs_Scan_10_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_10_Run_3.pkl.gz,10,3,10.0,1e-05,1,2000,2.525201e-11,2000,2.525201e-11,1968,2.484797784e-11,15,1.89390075e-13,1,1.2626005e-14,1,1.2626005e-14,1,1.2626005e-14,1,1.2626005e-14,1,1.2626005e-14,1,1.2626005e-14,1,1.2626005e-14,1,success,0.0005,1.262601e-14,9.4695075e-12
ALP_W-_sampledfs_Scan_10_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_10_Run_4.pkl.gz,10,4,10.0,3.16e-06,1,2000,2.5188468e-12,2000,2.5188468e-12,1450,1.8261639300000005e-12,163,2.0528601420000007e-13,23,2.89667382e-14,19,2.39290446e-14,17,2.14101978e-14,17,2.14101978e-14,17,2.14101978e-14,17,2.14101978e-14,17,2.14101978e-14,17,success,0.0085,1.259424e-15,1.6057656e-11
ALP_W-_sampledfs_Scan_10_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_10_Run_5.pkl.gz,10,5,10.0,1e-06,1,2000,2.542018200000001e-13,2000,2.542018200000001e-13,429,5.4526290390000034e-14,122,1.5506311020000006e-14,25,3.1775227500000007e-15,20,2.5420182e-15,9,1.1439081900000002e-15,8,1.01680728e-15,8,1.01680728e-15,8,1.01680728e-15,8,1.01680728e-15,8,success,0.004,1.27101e-16,7.62606e-13
ALP_W-_sampledfs_Scan_10_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_10_Run_6.pkl.gz,10,6,10.0,3.16e-07,1,2000,2.5132066000000012e-14,2000,2.5132066000000012e-14,56,7.03697848e-16,23,2.8901875900000007e-16,2,2.5132066000000006e-17,2,2.5132066000000006e-17,1,1.2566033000000003e-17,1,1.2566033000000003e-17,1,1.2566033000000003e-17,1,1.2566033000000003e-17,1,1.2566033000000003e-17,1,success,0.0005,1.2566030000000002e-17,9.424522500000002e-15
ALP_W-_sampledfs_Scan_10_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_10_Run_7.pkl.gz,10,7,10.0,1e-07,1,2000,2.5148128e-15,2000,2.5148128e-15,4,5.029625600000002e-18,1,1.2574064000000002e-18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,1.2574060000000001e-18,0.0
ALP_W-_sampledfs_Scan_10_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_10_Run_8.pkl.gz,10,8,10.0,3.16e-08,1,2000,2.517631600000001e-16,2000,2.517631600000001e-16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,1.258816e-19,0.0
ALP_W-_sampledfs_Scan_11_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_11_Run_1.pkl.gz,11,1,17.8,3.16e-05,1,2000,1.8858971399999992e-10,2000,1.8858971399999992e-10,2000,1.8858971399999992e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,9.429486e-14,0.0
ALP_W-_sampledfs_Scan_11_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_11_Run_3.pkl.gz,11,3,17.8,3.16e-06,1,2000,1.8881082200000013e-12,2000,1.8881082200000013e-12,1935,1.826744702850001e-12,38,3.5874056179999995e-14,6,5.664324660000001e-15,6,5.664324660000001e-15,6,5.664324660000001e-15,6,5.664324660000001e-15,6,5.664324660000001e-15,6,5.664324660000001e-15,6,5.664324660000001e-15,6,success,0.003,9.440541e-16,4.2482434500000005e-12
ALP_W-_sampledfs_Scan_11_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_11_Run_4.pkl.gz,11,4,17.8,1e-06,1,2000,1.8923685600000002e-13,2000,1.8923685600000002e-13,1173,1.1098741604400001e-13,207,1.9586014596000005e-14,38,3.5955002640000006e-15,32,3.0277896960000002e-15,29,2.7439344120000002e-15,28,2.6493159840000002e-15,29,2.7439344120000002e-15,28,2.6493159840000002e-15,28,2.6493159840000002e-15,28,success,0.014,9.461843000000001e-17,1.9869870300000003e-12
ALP_W-_sampledfs_Scan_11_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_11_Run_5.pkl.gz,11,5,17.8,3.16e-07,1,2000,1.9011548400000004e-14,2000,1.9011548400000004e-14,252,2.3954550984000005e-15,81,7.699677101999999e-16,18,1.7110393560000003e-16,14,1.3308083880000003e-16,7,6.654041939999999e-17,7,6.654041939999999e-17,7,6.654041939999999e-17,7,6.654041939999999e-17,7,6.654041939999999e-17,7,success,0.0035,9.505774e-18,4.9905313499999994e-14
