filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,acceptance,cross_section_pb,N_signal
ALP_W+_sampledfs_Scan_10_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_10_Run_1.pkl.gz,10,1,10.0,0.0001,1,2000,2.2941824000000012e-09,2000,2.2941824000000012e-09,2000,2.2941824000000012e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,1.147091e-12,0.0
ALP_W+_sampledfs_Scan_10_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_10_Run_2.pkl.gz,10,2,10.0,3.16e-05,1,2000,2.2826817999999986e-10,2000,2.2826817999999986e-10,2000,2.2826817999999986e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,1.141341e-13,0.0
ALP_W+_sampledfs_Scan_10_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_10_Run_3.pkl.gz,10,3,10.0,1e-05,1,2000,2.2853886000000005e-11,2000,2.2853886000000005e-11,1960,2.2396808280000005e-11,13,1.4855025900000004e-13,2,2.2853886000000003e-14,1,1.1426943e-14,1,1.1426943e-14,1,1.1426943e-14,1,1.1426943e-14,1,1.1426943e-14,1,1.1426943e-14,1,success,0.0005,1.142695e-14,8.5702125e-12
ALP_W+_sampledfs_Scan_10_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_10_Run_4.pkl.gz,10,4,10.0,3.16e-06,1,2000,2.2968894e-12,2000,2.2968894e-12,1436,1.6491665892e-12,153,1.757120391e-13,32,3.67502304e-14,25,2.87111175e-14,21,2.41173387e-14,20,2.2968894e-14,20,2.2968894e-14,20,2.2968894e-14,20,2.2968894e-14,20,success,0.01,1.148445e-15,1.7226675e-11
ALP_W+_sampledfs_Scan_10_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_10_Run_5.pkl.gz,10,5,10.0,1e-06,1,2000,2.296189200000001e-13,2000,2.296189200000001e-13,377,4.328316642000001e-14,110,1.26290406e-14,35,4.018331100000001e-15,26,2.985045960000001e-15,13,1.4925229800000005e-15,13,1.4925229800000005e-15,13,1.4925229800000005e-15,13,1.4925229800000005e-15,13,1.4925229800000005e-15,13,success,0.0065,1.148094e-16,1.1193916499999999e-12
ALP_W+_sampledfs_Scan_10_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_10_Run_6.pkl.gz,10,6,10.0,3.16e-07,1,2000,2.2863694e-14,2000,2.2863694e-14,53,6.058878909999999e-16,15,1.71477705e-16,4,4.572738800000001e-17,2,2.2863694000000002e-17,1,1.1431847000000001e-17,1,1.1431847000000001e-17,1,1.1431847000000001e-17,1,1.1431847000000001e-17,1,1.1431847000000001e-17,1,success,0.0005,1.1431840000000002e-17,8.573880000000002e-15
ALP_W+_sampledfs_Scan_10_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_10_Run_7.pkl.gz,10,7,10.0,1e-07,1,2000,2.2904998000000005e-15,2000,2.2904998000000005e-15,5,5.726249499999999e-18,4,4.5809996e-18,1,1.1452499e-18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,1.14525e-18,0.0
ALP_W+_sampledfs_Scan_10_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_10_Run_8.pkl.gz,10,8,10.0,3.16e-08,1,2000,2.2933228e-16,2000,2.2933228e-16,2,2.2933228e-19,2,2.2933228e-19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,1.146661e-19,0.0
ALP_W+_sampledfs_Scan_11_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_11_Run_1.pkl.gz,11,1,17.8,3.16e-05,1,2000,1.70527e-10,2000,1.70527e-10,2000,1.70527e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,8.52635e-14,0.0
ALP_W+_sampledfs_Scan_11_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_11_Run_2.pkl.gz,11,2,17.8,1e-05,1,2000,1.7103425599999995e-11,2000,1.7103425599999995e-11,2000,1.7103425599999995e-11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,8.551713e-15,0.0
