filename,filepath,scan,run,mass,CaPhi,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_Z_sampledfs_Scan_10_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_10_Run_1.pkl.gz,10,1,10.0,0.0001,2000,1.0503313399999998e-09,2000,1.0503313399999998e-09,2000,1.0503313399999998e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_10_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_10_Run_2.pkl.gz,10,2,10.0,3.16e-05,2000,1.0492643799999999e-10,2000,1.0492643799999999e-10,2000,1.0492643799999999e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_10_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_10_Run_3.pkl.gz,10,3,10.0,1e-05,2000,1.04680582e-11,2000,1.04680582e-11,1964,1.02796331524e-11,21,1.0991461110000001e-13,2,1.04680582e-14,2,1.04680582e-14,2,1.04680582e-14,2,1.04680582e-14,2,1.04680582e-14,2,1.04680582e-14,2,1.04680582e-14,2,success
ALP_Z_sampledfs_Scan_10_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_10_Run_4.pkl.gz,10,4,10.0,3.16e-06,2000,1.0522601599999998e-12,2000,1.0522601599999998e-12,1376,7.2395499008e-13,127,6.681852016e-14,26,1.3679382079999999e-14,22,1.1574861759999999e-14,20,1.0522601599999999e-14,20,1.0522601599999999e-14,20,1.0522601599999999e-14,20,1.0522601599999999e-14,20,1.0522601599999999e-14,20,success
ALP_Z_sampledfs_Scan_10_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_10_Run_5.pkl.gz,10,5,10.0,1e-06,2000,1.0533636800000002e-13,2000,1.0533636800000002e-13,349,1.8381196216e-14,58,3.054754672e-15,14,7.373545760000002e-16,14,7.373545760000002e-16,7,3.6867728799999996e-16,7,3.6867728799999996e-16,7,3.6867728799999996e-16,7,3.6867728799999996e-16,7,3.6867728799999996e-16,7,success
ALP_Z_sampledfs_Scan_10_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_10_Run_6.pkl.gz,10,6,10.0,3.16e-07,2000,1.0454665600000005e-14,2000,1.0454665600000005e-14,45,2.35229976e-16,12,6.272799360000001e-17,5,2.6136664000000003e-17,4,2.0909331200000003e-17,2,1.0454665600000001e-17,1,5.227332800000001e-18,2,1.0454665600000001e-17,1,5.227332800000001e-18,1,5.227332800000001e-18,1,success
ALP_Z_sampledfs_Scan_10_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_10_Run_7.pkl.gz,10,7,10.0,1e-07,2000,1.0508634999999998e-15,2000,1.0508634999999998e-15,7,3.6780222499999995e-18,1,5.2543175e-19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_10_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_10_Run_8.pkl.gz,10,8,10.0,3.16e-08,2000,1.0504467800000003e-16,2000,1.0504467800000003e-16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_11_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_11_Run_1.pkl.gz,11,1,17.8,3.16e-05,2000,8.089732600000001e-11,2000,8.089732600000001e-11,2000,8.089732600000001e-11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_11_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_11_Run_2.pkl.gz,11,2,17.8,1e-05,2000,8.109158000000002e-12,2000,8.109158000000002e-12,2000,8.109158000000002e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
