filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
Higgs_to_ALP_Z_sampledfs_Scan_10_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_10_Run_1.pkl.gz,10,1,10.0,0.0001,1,2000,0.00033468096,2000,0.00033468096,2000,0.00033468096,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_10_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_10_Run_2.pkl.gz,10,2,10.0,3.16e-05,1,2000,3.3315250000000006e-05,2000,3.3315250000000006e-05,2000,3.3315250000000006e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_10_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_10_Run_3.pkl.gz,10,3,10.0,1e-05,1,2000,3.3423535999999998e-06,2000,3.3423535999999998e-06,1994,3.3323265392e-06,3,5.0135304e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_10_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_10_Run_4.pkl.gz,10,4,10.0,3.16e-06,1,2000,3.3538732000000006e-07,2000,3.3538732000000006e-07,1691,2.835699790600001e-07,94,1.576320404e-08,10,1.6769366000000004e-09,8,1.3415492800000003e-09,6,1.0061619600000002e-09,5,8.384683000000002e-10,5,8.384683000000002e-10,5,8.384683000000002e-10,5,8.384683000000002e-10,5,success
Higgs_to_ALP_Z_sampledfs_Scan_10_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_10_Run_5.pkl.gz,10,5,10.0,1e-06,1,2000,3.3440888e-08,2000,3.3440888e-08,561,9.380169084000002e-09,119,1.989732836e-09,28,4.68172432e-10,28,4.68172432e-10,10,1.6720444e-10,8,1.3376355200000002e-10,8,1.3376355200000002e-10,8,1.3376355200000002e-10,8,1.3376355200000002e-10,8,success
Higgs_to_ALP_Z_sampledfs_Scan_10_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_10_Run_6.pkl.gz,10,6,10.0,3.16e-07,1,2000,3.3546225999999997e-09,2000,3.3546225999999997e-09,69,1.1573447969999998e-10,20,3.354622600000001e-11,7,1.17411791e-11,7,1.17411791e-11,2,3.3546226000000004e-12,1,1.6773113000000002e-12,1,1.6773113000000002e-12,1,1.6773113000000002e-12,1,1.6773113000000002e-12,1,success
Higgs_to_ALP_Z_sampledfs_Scan_10_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_10_Run_7.pkl.gz,10,7,10.0,1e-07,1,2000,3.3422524000000004e-10,2000,3.3422524000000004e-10,3,5.0133786e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_10_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_10_Run_8.pkl.gz,10,8,10.0,3.16e-08,1,2000,3.3450246e-11,2000,3.3450246e-11,1,1.6725123e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_11_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_11_Run_1.pkl.gz,11,1,17.8,3.16e-05,1,2000,2.3365843999999993e-05,2000,2.3365843999999993e-05,2000,2.3365843999999993e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_11_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/Higgs_to_ALP_Z_sampledfs_Scan_11_Run_2.pkl.gz,11,2,17.8,1e-05,1,2000,2.3452115999999997e-06,2000,2.3452115999999997e-06,2000,2.3452115999999997e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
