x,y
,7.171082559323314e-08
,1.2634821541399558e-07
,1.7262795450052637e-07
,2.3314877249867028e-07
,3.1488757549866256e-07
,4.558247877625389e-07
,6.300287056108878e-07
,8.314611390993478e-07
,1.1100536293132603e-06
,1.4992234025591416e-06
,2.07218425170846e-06
,2.7664980851737864e-06
3.2167834948065925,3.693451317835318e-06
1.5946879388561412,4.342237549480045e-06
1.112406996171425,5.164339463513381e-06
0.9256481933583263,5.864562072163242e-06
0.8176801623618771,6.659726484141205e-06
0.7418258941299777,7.650636802812028e-06
0.6771966296389778,8.78897834749057e-06
0.6482500441078868,9.865956507353575e-06
0.6390356809587298,1.120366210382214e-05
0.6873097800641339,1.2576529224350017e-05
0.7418258941299777,1.4281768627823945e-05
0.831659688357985,1.584756013614699e-05
0.9615683415086503,1.7585033779572305e-05
1.138021141155555,1.884792788945997e-05
1.4442120851876892,2.020153634433194e-05
2.9028101534481223,2.190406943132009e-05
,2.347714120440465e-05
,2.5751706083631374e-05
,2.8246615531928897e-05
,3.062719403649844e-05
,3.3208374513070205e-05
,3.600712193993091e-05
,3.814949650203569e-05
,4.0419339423650353e-05
,4.33221115379112e-05
,4.58997179872776e-05
,4.807180337236373e-05
,5.09320099967995e-05
,5.3342188537656236e-05
,5.651597587896943e-05
,5.7837780842366184e-05
,6.199148300014346e-05
,6.417892225116944e-05
,6.644348916205522e-05
,6.799748044317337e-05
,7.039678599138092e-05
,7.204323763064589e-05
