C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.001,1.0,3.16e-07,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.98e-07,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,5.01e-07,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,6.31e-07,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,7.94e-07,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.26e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-06,0.01,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,4.264850199168537e-05
0.001,1.0,2e-06,0.01,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,2.1324250995842685e-05
0.001,1.0,3.16e-06,0.01,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,4.264850199168537e-05
0.001,1.0,3.98e-06,0.01,0.0001,5.331062748960671e-05,9.762063264897768e-07,6.397275298752806e-05
0.001,1.0,5.01e-06,0.01,0.00023333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.0001492697569708988
0.001,1.0,6.31e-06,0.01,0.00016666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.00010662125497921341
0.001,1.0,7.94e-06,0.01,0.0004,5.331062748960671e-05,9.762063264897768e-07,0.00025589101195011224
0.001,1.0,1e-05,0.01,0.00036666666666666667,5.331062748960671e-05,9.762063264897768e-07,0.00023456676095426956
0.001,1.0,1.26e-05,0.01,0.0006,5.331062748960671e-05,9.762063264897768e-07,0.0003838365179251683
0.001,1.0,1.58e-05,0.01,0.0010666666666666667,5.331062748960671e-05,9.762063264897768e-07,0.0006823760318669659
0.001,1.0,2e-05,0.01,0.0016666666666666668,5.331062748960671e-05,9.762063264897768e-07,0.0010662125497921343
0.001,1.0,2.51e-05,0.01,0.0019333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.0012368065577588758
0.001,1.0,3.16e-05,0.01,0.0019666666666666665,5.331062748960671e-05,9.762063264897768e-07,0.0012581308087547182
0.001,1.0,3.98e-05,0.01,0.0016,5.331062748960671e-05,9.762063264897768e-07,0.001023564047800449
0.001,1.0,5.01e-05,0.01,0.0011333333333333334,5.331062748960671e-05,9.762063264897768e-07,0.0007250245338586513
0.001,1.0,6.31e-05,0.01,0.00046666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.0002985395139417976
0.001,1.0,7.94e-05,0.01,0.00016666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.00010662125497921341
0.001,1.0,0.0001,0.01,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,2.1324250995842685e-05
0.001,1.0,0.000126,0.01,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,4.264850199168537e-05
0.001,1.0,0.000158,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.0002,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000251,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000316,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000398,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000501,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000631,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000794,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.001,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00126,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00158,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.002,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00251,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00316,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00398,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00501,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00631,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.0010473708979594498,1.0,3.16e-07,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,3.98e-07,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,5.01e-07,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,6.31e-07,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,7.94e-07,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,1e-06,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,1.26e-06,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,1.58e-06,0.01,6.666666666666667e-05,5.848099569595742e-05,1.07088437458263e-06,4.6784796556765946e-05
0.0010473708979594498,1.0,2e-06,0.01,3.3333333333333335e-05,5.848099569595742e-05,1.07088437458263e-06,2.3392398278382973e-05
0.0010473708979594498,1.0,3.16e-06,0.01,6.666666666666667e-05,5.848099569595742e-05,1.07088437458263e-06,4.6784796556765946e-05
0.0010473708979594498,1.0,3.98e-06,0.01,0.0001,5.848099569595742e-05,1.07088437458263e-06,7.017719483514891e-05
0.0010473708979594498,1.0,5.01e-06,0.01,0.00023333333333333333,5.848099569595742e-05,1.07088437458263e-06,0.0001637467879486808
0.0010473708979594498,1.0,6.31e-06,0.01,0.00016666666666666666,5.848099569595742e-05,1.07088437458263e-06,0.00011696199139191486
0.0010473708979594498,1.0,7.94e-06,0.01,0.0004,5.848099569595742e-05,1.07088437458263e-06,0.00028070877934059565
0.0010473708979594498,1.0,1e-05,0.01,0.00036666666666666667,5.848099569595742e-05,1.07088437458263e-06,0.00025731638106221266
0.0010473708979594498,1.0,1.26e-05,0.01,0.0006,5.848099569595742e-05,1.07088437458263e-06,0.0004210631690108934
