C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.001,1.0,1e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.26e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2.51e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.16e-06,0.01,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,2.1324250995842685e-05
0.001,1.0,3.98e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,5.01e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,6.31e-06,0.01,0.00023333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.0001492697569708988
0.001,1.0,7.94e-06,0.01,0.00016666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.00010662125497921341
0.001,1.0,1e-05,0.01,0.00023333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.0001492697569708988
0.001,1.0,1.26e-05,0.01,0.0005333333333333334,5.331062748960671e-05,9.762063264897768e-07,0.00034118801593348297
0.001,1.0,1.58e-05,0.01,0.00046666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.0002985395139417976
0.001,1.0,2e-05,0.01,0.0010666666666666667,5.331062748960671e-05,9.762063264897768e-07,0.0006823760318669659
0.001,1.0,2.51e-05,0.01,0.0018333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.0011728338047713475
0.001,1.0,3.16e-05,0.01,0.0028666666666666667,5.331062748960671e-05,9.762063264897768e-07,0.0018338855856424707
0.001,1.0,3.98e-05,0.01,0.0036,5.331062748960671e-05,9.762063264897768e-07,0.0023030191075510097
0.001,1.0,5.01e-05,0.01,0.004533333333333334,5.331062748960671e-05,9.762063264897768e-07,0.002900098135434605
