C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.001,1.0,1e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.26e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2.51e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.16e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.98e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-05,0.1,0.0001,5.331062748960671e-05,9.762063264897768e-07,0.0006397275298752806
0.001,1.0,2e-05,0.1,0.0001,5.331062748960671e-05,9.762063264897768e-07,0.0006397275298752806
0.001,1.0,2.51e-05,0.1,0.00016666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.0010662125497921343
0.001,1.0,3.16e-05,0.1,0.0002666666666666667,5.331062748960671e-05,9.762063264897768e-07,0.001705940079667415
0.001,1.0,3.98e-05,0.1,0.0003,5.331062748960671e-05,9.762063264897768e-07,0.0019191825896258414
0.001,1.0,5.01e-05,0.1,0.0005666666666666667,5.331062748960671e-05,9.762063264897768e-07,0.0036251226692932564
0.001,1.0,6.31e-05,0.1,0.0009333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.005970790278835952
0.001,1.0,7.94e-05,0.1,0.0018,5.331062748960671e-05,9.762063264897768e-07,0.01151509553775505
0.001,1.0,0.0001,0.1,0.0026666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.01705940079667415
0.001,1.0,0.000126,0.1,0.0038666666666666667,5.331062748960671e-05,9.762063264897768e-07,0.024736131155177518
0.001,1.0,0.000158,0.1,0.005,5.331062748960671e-05,9.762063264897768e-07,0.031986376493764034
0.001,1.0,0.0002,0.1,0.006533333333333334,5.331062748960671e-05,9.762063264897768e-07,0.04179553195185167
0.001,1.0,0.000251,0.1,0.007533333333333334,5.331062748960671e-05,9.762063264897768e-07,0.04819280725060447
0.001,1.0,0.000316,0.1,0.008166666666666666,5.331062748960671e-05,9.762063264897768e-07,0.052244414939814576
