mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,C_Zh_eff,Gamma_total_alp_GeV,N_signal
0.0562,3.16e-08,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.113605440218875e-28,0.0
0.0562,3.98e-08,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.35286368523104e-28,0.0
0.0562,5.01e-08,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.312821253608976e-28,0.0
0.0562,6.31e-08,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.427688428166437e-28,0.0
0.0562,7.94e-08,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.3344145162131738e-27,0.0
0.0562,1e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.1166534211453243e-27,0.0
0.0562,1.26e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.360398971410317e-27,0.0
0.0562,1.58e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.28401360054719e-27,0.0
0.0562,2e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.466613684581297e-27,0.0
0.0562,2.51e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.333512821855766e-26,0.0
0.0562,3.16e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.113605440218876e-26,0.0
0.0562,3.98e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.35286368523104e-26,0.0
0.0562,5.01e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.312821253608978e-26,0.0
0.0562,6.31e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.427688428166437e-26,0.0
0.0562,7.94e-07,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.334414516213174e-25,0.0
0.0562,1e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.116653421145325e-25,0.0
0.0562,1.26e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.360398971410318e-25,0.0
0.0562,1.58e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.2840136005471865e-25,0.0
0.0562,2e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.4666136845813e-25,0.0
0.0562,2.51e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.3335128218557664e-24,0.0
0.0562,3.16e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.1136054402188746e-24,0.0
0.0562,3.98e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.35286368523104e-24,0.0
0.0562,5.01e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.312821253608978e-24,0.0
0.0562,6.31e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.427688428166437e-24,0.0
0.0562,7.94e-06,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.334414516213174e-23,0.0
0.0562,1e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.1166534211453248e-23,0.0
0.0562,1.26e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.360398971410318e-23,0.0
0.0562,1.58e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.284013600547191e-23,0.0
