mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,Gamma_total_alp_GeV,N_signal
0.0562,3.16e-08,0.0,1.584951377205463e-17,2.9023097916232613e-19,2.113605440218875e-28,0.0
0.0562,3.98e-08,0.0,2.514246895077453e-17,4.604004568902129e-19,3.35286368523104e-28,0.0
0.0562,5.01e-08,0.0,3.983980738563014e-17,7.295331877976587e-19,5.312821253608976e-28,0.0
0.0562,6.31e-08,0.0,6.319758705531006e-17,1.1572530132816345e-18,8.427688428166437e-28,0.0
0.0562,7.94e-08,0.0,1.0006513443758041e-16,1.832359173000923e-18,1.3344145162131738e-27,0.0
0.0562,1e-07,0.0,1.5872369984832788e-16,2.9064951446315303e-18,2.1166534211453243e-27,0.0
0.0562,1.26e-07,0.0,2.5198974587920523e-16,4.614351691617016e-18,3.360398971410317e-27,0.0
0.0562,1.58e-07,0.0,3.9623784430136575e-16,7.255774479058153e-18,5.28401360054719e-27,0.0
0.0562,2e-07,0.0,6.348947993933115e-16,1.1625980578526121e-17,8.466613684581297e-27,0.0
0.0562,2.51e-07,0.0,9.999751814144509e-16,1.8311210060693112e-17,1.333512821855766e-26,0.0
0.0562,3.16e-07,0.0,1.584951377205463e-15,2.902309791623261e-17,2.113605440218876e-26,0.0
0.0562,3.98e-07,0.0,2.514246895077453e-15,4.60400456890213e-17,3.35286368523104e-26,0.0
0.0562,5.01e-07,0.0,3.983980738563016e-15,7.29533187797659e-17,5.312821253608978e-26,0.0
0.0562,6.31e-07,0.0,6.319758705531005e-15,1.1572530132816344e-16,8.427688428166437e-26,0.0
0.0562,7.94e-07,0.0,1.0006513443758043e-14,1.8323591730009236e-16,1.334414516213174e-25,0.0
0.0562,1e-06,0.0,1.5872369984832785e-14,2.90649514463153e-16,2.116653421145325e-25,0.0
0.0562,1.26e-06,0.0,2.519897458792052e-14,4.614351691617015e-16,3.360398971410318e-25,0.0
0.0562,1.58e-06,0.0,3.9623784430136525e-14,7.255774479058144e-16,5.2840136005471865e-25,0.0
0.0562,2e-06,0.0,6.348947993933108e-14,1.162598057852611e-15,8.4666136845813e-25,0.0
