mass,CaPhi,N_signal_h,N_signal_p,N_signal
0.0562,3.16e-08,0.0,0.0,0.0
0.0562,3.98e-08,0.0,0.0,0.0
0.0562,5.01e-08,0.0,0.0,0.0
0.0562,6.31e-08,0.0,0.0,0.0
0.0562,7.94e-08,0.0,0.0,0.0
0.0562,1e-07,0.0,0.0,0.0
0.0562,1.26e-07,0.0,0.0,0.0
0.0562,1.58e-07,0.0,0.0,0.0
0.0562,2e-07,0.0,0.0,0.0
0.0562,2.51e-07,0.0,0.0,0.0
0.0562,3.16e-07,0.0,0.0,0.0
0.0562,3.98e-07,0.0,0.0,0.0
0.0562,5.01e-07,0.0,0.0,0.0
0.0562,6.31e-07,0.0,0.0,0.0
0.0562,7.94e-07,0.0,0.0,0.0
0.0562,1e-06,0.0,0.0,0.0
0.0562,1.26e-06,0.0,0.0,0.0
0.0562,1.58e-06,0.0,0.0,0.0
0.0562,2e-06,0.0,0.0,0.0
0.0562,2.51e-06,0.0,0.0,0.0
0.0562,3.16e-06,0.0,0.0,0.0
0.0562,3.98e-06,0.0,0.0,0.0
0.0562,5.01e-06,0.0,0.0,0.0
0.0562,6.31e-06,0.0,0.0,0.0
0.0562,7.94e-06,0.0,0.0,0.0
0.0562,1e-05,0.0,0.0,0.0
0.0562,1.26e-05,0.0,0.0,0.0
0.0562,1.58e-05,0.0,0.0,0.0
0.0562,2e-05,0.0,0.0,0.0
0.0562,2.51e-05,0.0,0.0,0.0
0.0562,3.16e-05,0.0,0.0,0.0
0.0562,3.98e-05,0.0,0.0,0.0
0.0562,5.01e-05,0.0,0.0,0.0
0.0562,6.31e-05,0.0,0.0,0.0
0.0562,7.94e-05,0.0,0.0,0.0
0.0562,0.0001,0.0,0.0,0.0
0.0562,0.000126,0.0,0.0,0.0
0.0562,0.000158,0.0,0.0,0.0
0.0562,0.0002,0.0,0.0,0.0
0.0562,0.000251,0.0,0.0,0.0
0.0562,0.000316,0.0,0.0,0.0
0.0562,0.000398,0.0,0.0,0.0
0.0562,0.000501,0.0,0.0,0.0
0.0562,0.000631,0.0,0.0,0.0
0.0562,0.000794,0.0,0.0,0.0
0.0562,0.001,0.0,0.0,0.0
0.0562,0.00126,0.0,0.0,0.0
0.0562,0.00158,0.0,0.0,0.0
0.0562,0.002,0.0,9.60766940434116e-12,9.60766940434116e-12
0.0562,0.00251,0.0,0.0,0.0
0.0562,0.00316,2.6023075375751017e-06,3.242146722696192e-13,2.602307861789774e-06
0.0562,0.00398,0.0,0.0,0.0
0.0562,0.00501,1.5891969293829063e-05,1.2134961898258968e-10,1.5892090643448046e-05
0.0562,0.00631,5.39732728908412e-06,2.5733380157297458e-12,5.397329862422136e-06
0.0562,0.00794,4.013645059486274e-05,1.4702975548719871e-09,4.013792089241761e-05
0.0562,0.01,0.0001510273052988,7.280546953849592e-10,0.00015102803335349539
0.0562,0.0126,0.0003408448489243,3.3094682290348274e-09,0.000340848158392529
0.0562,0.0158,0.0002536811770326,5.2139238321050916e-09,0.00025368639095643214
0.0562,0.02,0.0009672126216507,2.622479579621629e-08,0.0009672388464464962
0.0562,0.0251,0.0025845243668816,4.100421902196858e-08,0.002584565371100622
