mass,CaPhi,acceptance,cross_section_pb,Gamma_total_alp_GeV,N_signal
0.0562,3.16e-08,0.0,2.975678e-22,2.113605440218875e-28,0.0
0.0562,3.98e-08,0.0,4.63764e-22,3.35286368523104e-28,0.0
0.0562,5.01e-08,0.0,7.450366e-22,5.312821253608976e-28,0.0
0.0562,6.31e-08,0.0,1.181494e-21,8.427688428166437e-28,0.0
0.0562,7.94e-08,0.0,1.870486e-21,1.3344145162131738e-27,0.0
0.0562,1e-07,0.0,2.975051e-21,2.1166534211453243e-27,0.0
0.0562,1.26e-07,0.0,4.686395e-21,3.360398971410317e-27,0.0
0.0562,1.58e-07,0.0,7.364961e-21,5.28401360054719e-27,0.0
0.0562,2e-07,0.0,1.177185e-20,8.466613684581297e-27,0.0
0.0562,2.51e-07,0.0,1.845317e-20,1.333512821855766e-26,0.0
0.0562,3.16e-07,0.0,2.973098e-20,2.113605440218876e-26,0.0
0.0562,3.98e-07,0.0,4.675854e-20,3.35286368523104e-26,0.0
0.0562,5.01e-07,0.0,7.426083e-20,5.312821253608978e-26,0.0
0.0562,6.31e-07,0.0,1.168634e-19,8.427688428166437e-26,0.0
0.0562,7.94e-07,0.0,1.840949e-19,1.334414516213174e-25,0.0
0.0562,1e-06,0.0,2.902952e-19,2.116653421145325e-25,0.0
0.0562,1.26e-06,0.0,4.695045e-19,3.360398971410318e-25,0.0
0.0562,1.58e-06,0.0,7.464712e-19,5.2840136005471865e-25,0.0
0.0562,2e-06,0.0,1.178759e-18,8.4666136845813e-25,0.0
0.0562,2.51e-06,0.0,1.853696e-18,1.3335128218557664e-24,0.0
0.0562,3.16e-06,0.0,2.889512e-18,2.1136054402188746e-24,0.0
0.0562,3.98e-06,0.0,4.706464e-18,3.35286368523104e-24,0.0
0.0562,5.01e-06,0.0,7.466124e-18,5.312821253608978e-24,0.0
0.0562,6.31e-06,0.0,1.158282e-17,8.427688428166437e-24,0.0
0.0562,7.94e-06,0.0,1.844751e-17,1.334414516213174e-23,0.0
0.0562,1e-05,0.0,2.978834e-17,2.1166534211453248e-23,0.0
0.0562,1.26e-05,0.0,4.70691e-17,3.360398971410318e-23,0.0
0.0562,1.58e-05,0.0,7.441792e-17,5.284013600547191e-23,0.0
0.0562,2e-05,0.0,1.152165e-16,8.466613684581299e-23,0.0
0.0562,2.51e-05,0.0,1.855801e-16,1.333512821855766e-22,0.0
0.0562,3.16e-05,0.0,2.980005e-16,2.1136054402188764e-22,0.0
0.0562,3.98e-05,0.0,4.60289e-16,3.35286368523104e-22,0.0
0.0562,5.01e-05,0.0,7.444992e-16,5.312821253608975e-22,0.0
0.0562,6.31e-05,0.0,1.164532e-15,8.427688428166436e-22,0.0
0.0562,7.94e-05,0.0,1.855049e-15,1.3344145162131744e-21,0.0
0.0562,0.0001,0.0,2.916875e-15,2.116653421145325e-21,0.0
0.0562,0.000126,0.0,4.644495e-15,3.360398971410317e-21,0.0
0.0562,0.000158,0.0,7.363514e-15,5.284013600547188e-21,0.0
0.0562,0.0002,0.0,1.161635e-14,8.4666136845813e-21,0.0
0.0562,0.000251,0.0,1.848214e-14,1.3335128218557655e-20,0.0
0.0562,0.000316,0.0,2.967788e-14,2.1136054402188753e-20,0.0
0.0562,0.000398,0.0,4.632954e-14,3.3528636852310406e-20,0.0
0.0562,0.000501,0.0,7.407228e-14,5.312821253608977e-20,0.0
0.0562,0.000631,0.0,1.182709e-13,8.427688428166437e-20,0.0
0.0562,0.000794,0.0,1.849889e-13,1.3344145162131737e-19,0.0
0.0562,0.001,0.0,2.957863e-13,2.1166534211453247e-19,0.0
0.0562,0.00126,0.0,4.673409e-13,3.3603989714103175e-19,0.0
0.0562,0.00158,0.0,7.489946e-13,5.284013600547188e-19,0.0
0.0562,0.002,6.841186588207605e-06,1.170322e-12,8.466613684581299e-19,9.60766940434116e-12
0.0562,0.00251,0.0,1.869537e-12,1.333512821855766e-18,0.0
0.0562,0.00316,9.193807937782661e-08,2.938705e-12,2.1136054402188754e-18,3.2421467226961913e-13
0.0562,0.00398,0.0,4.637382e-12,3.3528636852310407e-18,0.0
0.0562,0.00501,1.3682373176415209e-05,7.390873e-12,5.312821253608976e-18,1.213496189825897e-10
0.0562,0.00631,1.8387615875565317e-07,1.166246e-11,8.427688428166436e-18,2.573338015729746e-12
0.0562,0.00794,6.657472858728885e-05,1.84041e-11,1.3344145162131735e-17,1.4702975548719873e-09
0.0562,0.01,2.0615497844000635e-05,2.942991e-11,2.1166534211453254e-17,7.280546953849593e-10
0.0562,0.0126,6.000935623721472e-05,4.595767e-11,3.360398971410318e-17,3.3094682290348274e-09
