filename,filepath,scan,run,mass,CaPhi,reweight_lifetime,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,target_coupling
ALP_Z_sampledfs_Scan_1_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_1.pkl.gz,1.0,1.0,0.0562,0.000631,7.810112612850868e-06,1.0,2000.0,1.68995294e-09,2000.0,1.68995294e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_10.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_10.pkl.gz,1.0,10.0,10.0,0.000631,1.3719775558335816e-13,1.0,2000.0,2.643343800000001e-15,2000.0,2.643343800000001e-15,2000.0,2.643343800000001e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_11.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_11.pkl.gz,1.0,11.0,17.8,0.000631,3.635680556072559e-14,1.0,2000.0,9.5944332e-16,2000.0,9.5944332e-16,2000.0,9.5944332e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_12.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_12.pkl.gz,1.0,12.0,31.6,0.000631,1.8447469827961362e-14,1.0,2000.0,6.168759799999998e-16,2000.0,6.168759799999998e-16,2000.0,6.168759799999998e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_2.pkl.gz,1.0,2.0,0.1,0.000631,4.347817195435014e-06,1.0,2000.0,1.69490092e-09,2000.0,1.69490092e-09,1.0,8.474504600000001e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_3.pkl.gz,1.0,3.0,0.178,0.000631,2.435375657740876e-06,1.0,2000.0,1.71248388e-09,2000.0,1.71248388e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_4.pkl.gz,1.0,4.0,0.316,0.000631,4.117716580034315e-09,1.0,2000.0,5.246194600000001e-12,2000.0,5.246194600000001e-12,319.0,8.367680387000001e-13,81.0,2.124708813000001e-13,15.0,3.934645950000001e-14,8.0,2.0984778400000004e-14,3.0,7.869291900000002e-15,3.0,7.869291900000002e-15,3.0,7.869291900000002e-15,3.0,7.869291900000002e-15,3.0,7.869291900000002e-15,3.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_5.pkl.gz,1.0,5.0,0.562,0.000631,1.895666493040928e-09,1.0,2000.0,4.079571000000001e-12,2000.0,4.079571000000001e-12,739.0,1.5074014845000004e-12,128.0,2.6109254400000005e-13,29.0,5.915377950000001e-14,14.0,2.8556997000000004e-14,6.0,1.2238713000000003e-14,6.0,1.2238713000000003e-14,6.0,1.2238713000000003e-14,6.0,1.2238713000000003e-14,6.0,1.2238713000000003e-14,6.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_6.pkl.gz,1.0,6.0,1.0,0.000631,1.0138523755072287e-09,1.0,2000.0,3.597092e-12,2000.0,3.597092e-12,1282.0,2.3057359720000004e-12,168.0,3.02155728e-13,27.0,4.8560742e-14,9.0,1.6186914000000002e-14,6.0,1.0791276000000004e-14,6.0,1.0791276000000004e-14,6.0,1.0791276000000004e-14,6.0,1.0791276000000004e-14,6.0,1.0791276000000004e-14,6.0,success,0.000631
ALP_Z_sampledfs_Scan_1_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/dd_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_7.pkl.gz,1.0,7.0,1.78,0.000631,5.61275432966841e-10,1.0,2000.0,3.2110894e-12,2000.0,3.2110894e-12,1720.0,2.761536884e-12,107.0,1.717932829e-13,16.0,2.5688715200000003e-14,12.0,1.92665364e-14,12.0,1.92665364e-14,12.0,1.92665364e-14,12.0,1.92665364e-14,12.0,1.92665364e-14,12.0,1.92665364e-14,12.0,success,0.000631
