filename,filepath,scan,run,mass,CaPhi,reweight_lifetime,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,target_coupling
ALP_Z_sampledfs_Scan_1_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_1.pkl.gz,1,1.0,0.0562,0.0794,4.932589902932756e-10,1,2000.0,5.875058999999999e-12,2000.0,5.875058999999999e-12,455.0,1.3365759224999997e-12,92.0,2.70252714e-13,16.0,4.7000472000000005e-14,12.0,3.5250354e-14,7.0,2.0562706500000005e-14,7.0,2.0562706500000005e-14,7.0,2.0562706500000005e-14,7.0,2.0562706500000005e-14,7.0,2.0562706500000005e-14,7.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_10.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_10.pkl.gz,1,10.0,10.0,0.0794,8.664923253244652e-18,1,2000.0,9.105337399999998e-18,2000.0,9.105337399999998e-18,2000.0,9.105337399999998e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_11.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_11.pkl.gz,1,11.0,17.8,0.0794,2.296166789152914e-18,1,2000.0,3.2877928000000014e-18,2000.0,3.2877928000000014e-18,2000.0,3.2877928000000014e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_12.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_12.pkl.gz,1,12.0,31.6,0.0794,1.165076714237595e-18,1,2000.0,2.1198490000000004e-18,2000.0,2.1198490000000004e-18,2000.0,2.1198490000000004e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_2.pkl.gz,1,2.0,0.1,0.0794,2.7459270129745136e-10,1,2000.0,5.870236800000001e-12,2000.0,5.870236800000001e-12,850.0,2.4948506400000003e-12,127.0,3.727600368000001e-13,20.0,5.870236800000002e-14,15.0,4.4026776e-14,8.0,2.3480947200000004e-14,7.0,2.05458288e-14,7.0,2.05458288e-14,7.0,2.05458288e-14,7.0,2.05458288e-14,7.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_3.pkl.gz,1,3.0,0.178,0.0794,1.5380968207110074e-10,1,2000.0,5.8699880000000026e-12,2000.0,5.8699880000000026e-12,1365.0,4.006266810000001e-12,148.0,4.34379112e-13,31.0,9.098481400000005e-14,22.0,6.456986800000002e-14,18.0,5.2829892000000014e-14,14.0,4.1089916000000026e-14,14.0,4.1089916000000026e-14,14.0,4.1089916000000026e-14,14.0,4.1089916000000026e-14,14.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_4.pkl.gz,1,4.0,0.316,0.0794,2.600603631808849e-13,1,2000.0,1.7857587600000004e-14,2000.0,1.7857587600000004e-14,2000.0,1.7857587600000004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_5.pkl.gz,1,5.0,0.562,0.0794,1.1972356694980445e-13,1,2000.0,1.3984975400000004e-14,2000.0,1.3984975400000004e-14,2000.0,1.3984975400000004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_6.pkl.gz,1,6.0,1.0,0.0794,6.403131732393672e-14,1,2000.0,1.2419298e-14,2000.0,1.2419298e-14,2000.0,1.2419298e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.0794
ALP_Z_sampledfs_Scan_1_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime_With_Reweighting/ee_Decay_Channel/Generated_Events_1/ALP_Z_sampledfs_Scan_1_Run_7.pkl.gz,1,7.0,1.78,0.0794,3.5448164074626196e-14,1,2000.0,1.1010136600000002e-14,2000.0,1.1010136600000002e-14,2000.0,1.1010136600000002e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,0.0794
