filename,filepath,scan,run,mass,CaPhi,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_Z_sampledfs_Scan_10_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_10_Run_1.pkl.gz,10,1,0.316,0.00316,2000,2.185972000000001e-06,2000,2.185972000000001e-06,1568,1.7138020480000002e-06,84,9.1810824e-08,12,1.3115832000000002e-08,12,1.3115832000000002e-08,12,1.3115832000000002e-08,12,1.3115832000000002e-08,12,1.3115832000000002e-08,12,1.3115832000000002e-08,12,1.3115832000000002e-08,12,success
ALP_Z_sampledfs_Scan_10_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_10_Run_2.pkl.gz,10,2,1.0,0.00316,2000,1.957724180000001e-06,2000,1.957724180000001e-06,1985,1.943041248650001e-06,10,9.788620900000002e-09,1,9.7886209e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_11_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_11_Run_1.pkl.gz,11,1,10.0,0.00316,2000,1.0517948799999997e-06,2000,1.0517948799999997e-06,2000,1.0517948799999997e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_12_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_12_Run_1.pkl.gz,12,1,0.316,0.316,2000,0.02185972,2000,0.02185972,2000,0.02185972,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_13_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_13_Run_1.pkl.gz,13,1,3.16,0.01,2000,1.5369915800000004e-05,2000,1.5369915800000004e-05,2000,1.5369915800000004e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_13_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_13_Run_2.pkl.gz,13,2,3.16,0.00316,2000,1.5391840999999997e-06,2000,1.5391840999999997e-06,2000,1.5391840999999997e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_13_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_13_Run_3.pkl.gz,13,3,3.16,0.001,2000,1.52468298e-07,2000,1.52468298e-07,2000,1.52468298e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_13_Run_4.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_13_Run_4.pkl.gz,13,4,3.16,0.0001,2000,1.5306655800000004e-09,2000,1.5306655800000004e-09,1967,1.5054095979300003e-09,13,9.949326270000002e-12,1,7.6533279e-13,1,7.6533279e-13,1,7.6533279e-13,1,7.6533279e-13,1,7.6533279e-13,1,7.6533279e-13,1,7.6533279e-13,1,success
ALP_Z_sampledfs_Scan_14_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_14_Run_1.pkl.gz,14,1,0.1,0.000316,2000,2.145044600000001e-08,2000,2.145044600000001e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_15_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_Z_Runs/ALP_Z_sampledfs_Scan_15_Run_1.pkl.gz,15,1,0.316,0.000316,2000,2.1859720000000005e-08,2000,2.1859720000000005e-08,106,1.1585651600000004e-09,19,2.0766734000000003e-10,7,7.650902000000002e-11,5,5.464930000000001e-11,3,3.278958e-11,3,3.278958e-11,3,3.278958e-11,3,3.278958e-11,3,3.278958e-11,3,success
