filename,filepath,scan,run,mass,CaPhi,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_W-_sampledfs_Scan_1_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_1_Run_1.pkl.gz,1,1,0.05,1.0,2000,0.5395890999999998,2000,0.5395890999999998,1970,0.5314952634999999,11,0.0029677400499999993,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_1_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_1_Run_2.pkl.gz,1,2,0.05,0.1,2000,0.005432579600000001,2000,0.005432579600000001,592,0.0016080435616,95,0.00025804753100000006,19,5.1609506200000014e-05,18,4.889321640000001e-05,2,5.432579600000001e-06,2,5.432579600000001e-06,2,5.432579600000001e-06,2,5.432579600000001e-06,2,5.432579600000001e-06,2,success
ALP_W-_sampledfs_Scan_1_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_1_Run_3.pkl.gz,1,3,0.05,0.01,2000,5.4005870000000016e-05,2000,5.4005870000000016e-05,13,3.510381550000001e-07,7,1.89020545e-07,2,5.400587e-08,2,5.400587e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_1_Run_4.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_1_Run_4.pkl.gz,1,4,0.05,0.001,2000,5.390789400000001e-07,2000,5.390789400000001e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_1_Run_5.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_1_Run_5.pkl.gz,1,5,0.05,0.0001,2000,5.429174000000001e-09,2000,5.429174000000001e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_2_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_2_Run_1.pkl.gz,2,1,0.1,1.0,2000,0.5419100600000001,2000,0.5419100600000001,2000,0.5419100600000001,3,0.00081286509,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_2_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_2_Run_2.pkl.gz,2,2,0.1,0.1,2000,0.0054547188,2000,0.0054547188,1136,0.003098280278400001,93,0.0002536444242000001,29,7.90934226e-05,25,6.8183985e-05,10,2.7273594000000006e-05,10,2.7273594000000006e-05,10,2.7273594000000006e-05,10,2.7273594000000006e-05,10,2.7273594000000006e-05,10,success
ALP_W-_sampledfs_Scan_2_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_2_Run_3.pkl.gz,2,3,0.1,0.01,2000,5.4178152e-05,2000,5.4178152e-05,46,1.2460974960000007e-06,12,3.25068912e-07,5,1.3544538e-07,1,2.7089076e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_2_Run_4.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_2_Run_4.pkl.gz,2,4,0.1,0.001,2000,5.416606000000001e-07,2000,5.416606000000001e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_2_Run_5.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_2_Run_5.pkl.gz,2,5,0.1,0.0001,2000,5.459174999999999e-09,2000,5.459174999999999e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_3_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_3_Run_1.pkl.gz,3,1,0.316,1.0,2000,0.5538914799999998,2000,0.5538914799999998,2000,0.5538914799999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_3_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_3_Run_2.pkl.gz,3,2,0.316,0.1,2000,0.005559873600000002,2000,0.005559873600000002,2000,0.005559873600000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_3_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W-_Runs/ALP_W-_sampledfs_Scan_3_Run_3.pkl.gz,3,3,0.316,0.01,2000,5.555158599999998e-05,2000,5.555158599999998e-05,1981,5.502384593299998e-05,9,2.49982137e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
