filename,filepath,scan,run,mass,CaPhi,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_W+_sampledfs_Scan_1_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_1_Run_1.pkl.gz,1,1,0.05,1.0,2000,0.49405284000000005,2000,0.49405284000000005,1965,0.4854069153000001,12,0.0029643170400000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_1_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_1_Run_2.pkl.gz,1,2,0.05,0.1,2000,0.0049518858,2000,0.0049518858,589,0.0014583303681,90,0.000222834861,24,5.94226296e-05,20,4.9518858e-05,9,2.22834861e-05,9,2.22834861e-05,9,2.22834861e-05,9,2.22834861e-05,9,2.22834861e-05,9,success
ALP_W+_sampledfs_Scan_1_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_1_Run_3.pkl.gz,1,3,0.05,0.01,2000,4.915633199999998e-05,2000,4.915633199999998e-05,6,1.47468996e-07,1,2.4578166000000003e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_1_Run_4.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_1_Run_4.pkl.gz,1,4,0.05,0.001,2000,4.9339014e-07,2000,4.9339014e-07,1,2.4669507e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_1_Run_5.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_1_Run_5.pkl.gz,1,5,0.05,0.0001,2000,4.941883000000002e-09,2000,4.941883000000002e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_2_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_2_Run_1.pkl.gz,2,1,0.1,1.0,2000,0.4985680800000001,2000,0.4985680800000001,1999,0.49831879596000006,1,0.00024928404,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_2_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_2_Run_2.pkl.gz,2,2,0.1,0.1,2000,0.0049888356,2000,0.0049888356,1158,0.0028885358124,106,0.00026440828680000003,19,4.73939382e-05,18,4.48995204e-05,10,2.4944178e-05,9,2.24497602e-05,9,2.24497602e-05,9,2.24497602e-05,9,2.24497602e-05,9,success
ALP_W+_sampledfs_Scan_2_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_2_Run_3.pkl.gz,2,3,0.1,0.01,2000,4.946157399999999e-05,2000,4.946157399999999e-05,42,1.038693054e-06,16,3.9569259200000005e-07,3,7.4192361e-08,3,7.4192361e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_2_Run_4.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_2_Run_4.pkl.gz,2,4,0.1,0.001,2000,4.9516786e-07,2000,4.9516786e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_2_Run_5.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_2_Run_5.pkl.gz,2,5,0.1,0.0001,2000,4.963473600000002e-09,2000,4.963473600000002e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_3_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_3_Run_1.pkl.gz,3,1,0.316,1.0,2000,0.5096362799999998,2000,0.5096362799999998,2000,0.5096362799999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_3_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_3_Run_2.pkl.gz,3,2,0.316,0.1,2000,0.005112225400000002,2000,0.005112225400000002,2000,0.005112225400000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_3_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_3_Run_3.pkl.gz,3,3,0.316,0.01,2000,5.046483800000001e-05,2000,5.046483800000001e-05,1986,5.011158413400001e-05,10,2.5232419e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_3_Run_4.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_3_Run_4.pkl.gz,3,4,0.316,0.001,2000,5.0779276e-07,2000,5.0779276e-07,676,1.7163395288e-07,101,2.5643534380000005e-08,28,7.109098639999999e-09,18,4.570134839999999e-09,7,1.7772746599999997e-09,7,1.7772746599999997e-09,7,1.7772746599999997e-09,7,1.7772746599999997e-09,7,1.7772746599999997e-09,7,success
ALP_W+_sampledfs_Scan_3_Run_5.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_3_Run_5.pkl.gz,3,5,0.316,0.0001,2000,5.0803441999999995e-09,2000,5.0803441999999995e-09,18,4.5723097799999996e-11,3,7.6205163e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_3_Run_6.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_3_Run_6.pkl.gz,3,6,0.316,1e-05,2000,5.074918799999998e-11,2000,5.074918799999998e-11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_4_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_4_Run_1.pkl.gz,4,1,1.0,1.0,2000,0.45123141999999994,2000,0.45123141999999994,2000,0.45123141999999994,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_4_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_4_Run_2.pkl.gz,4,2,1.0,0.1,2000,0.004525321400000001,2000,0.004525321400000001,2000,0.004525321400000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_4_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_4_Run_3.pkl.gz,4,3,1.0,0.01,2000,4.4787042e-05,2000,4.4787042e-05,2000,4.4787042e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
